"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060750101011","Block Group 1; Census Tract 101.01; San Francisco County; California","795","267",
"1500000US060750101012","Block Group 2; Census Tract 101.01; San Francisco County; California","1326","252",
"1500000US060750101021","Block Group 1; Census Tract 101.02; San Francisco County; California","1908","347",
"1500000US060750102011","Block Group 1; Census Tract 102.01; San Francisco County; California","1219","231",
"1500000US060750102012","Block Group 2; Census Tract 102.01; San Francisco County; California","1254","514",
"1500000US060750102021","Block Group 1; Census Tract 102.02; San Francisco County; California","905","371",
"1500000US060750102022","Block Group 2; Census Tract 102.02; San Francisco County; California","954","284",
"1500000US060750103001","Block Group 1; Census Tract 103; San Francisco County; California","1424","358",
"1500000US060750103002","Block Group 2; Census Tract 103; San Francisco County; California","1040","319",
"1500000US060750103003","Block Group 3; Census Tract 103; San Francisco County; California","1461","486",
"1500000US060750104011","Block Group 1; Census Tract 104.01; San Francisco County; California","812","481",
"1500000US060750104012","Block Group 2; Census Tract 104.01; San Francisco County; California","1625","641",
"1500000US060750104021","Block Group 1; Census Tract 104.02; San Francisco County; California","717","270",
"1500000US060750104022","Block Group 2; Census Tract 104.02; San Francisco County; California","822","175",
"1500000US060750104023","Block Group 3; Census Tract 104.02; San Francisco County; California","538","197",
"1500000US060750105001","Block Group 1; Census Tract 105; San Francisco County; California","1244","375",
"1500000US060750105002","Block Group 2; Census Tract 105; San Francisco County; California","940","329",
"1500000US060750105003","Block Group 3; Census Tract 105; San Francisco County; California","924","188",
"1500000US060750106001","Block Group 1; Census Tract 106; San Francisco County; California","1303","290",
"1500000US060750106002","Block Group 2; Census Tract 106; San Francisco County; California","920","236",
"1500000US060750106003","Block Group 3; Census Tract 106; San Francisco County; California","974","345",
"1500000US060750107011","Block Group 1; Census Tract 107.01; San Francisco County; California","1469","546",
"1500000US060750107012","Block Group 2; Census Tract 107.01; San Francisco County; California","1955","443",
"1500000US060750107021","Block Group 1; Census Tract 107.02; San Francisco County; California","638","244",
"1500000US060750107022","Block Group 2; Census Tract 107.02; San Francisco County; California","820","251",
"1500000US060750108001","Block Group 1; Census Tract 108; San Francisco County; California","1929","485",
"1500000US060750108002","Block Group 2; Census Tract 108; San Francisco County; California","920","314",
"1500000US060750108003","Block Group 3; Census Tract 108; San Francisco County; California","1764","384",
"1500000US060750109011","Block Group 1; Census Tract 109.01; San Francisco County; California","888","233",
"1500000US060750109012","Block Group 2; Census Tract 109.01; San Francisco County; California","1119","300",
"1500000US060750109021","Block Group 1; Census Tract 109.02; San Francisco County; California","1132","262",
"1500000US060750109022","Block Group 2; Census Tract 109.02; San Francisco County; California","1370","566",
"1500000US060750110011","Block Group 1; Census Tract 110.01; San Francisco County; California","1146","338",
"1500000US060750110012","Block Group 2; Census Tract 110.01; San Francisco County; California","1472","241",
"1500000US060750110021","Block Group 1; Census Tract 110.02; San Francisco County; California","675","403",
"1500000US060750110022","Block Group 2; Census Tract 110.02; San Francisco County; California","444","162",
"1500000US060750110023","Block Group 3; Census Tract 110.02; San Francisco County; California","788","250",
"1500000US060750111011","Block Group 1; Census Tract 111.01; San Francisco County; California","975","313",
"1500000US060750111012","Block Group 2; Census Tract 111.01; San Francisco County; California","606","157",
"1500000US060750111013","Block Group 3; Census Tract 111.01; San Francisco County; California","921","340",
"1500000US060750111021","Block Group 1; Census Tract 111.02; San Francisco County; California","1331","461",
"1500000US060750111022","Block Group 2; Census Tract 111.02; San Francisco County; California","887","242",
"1500000US060750112001","Block Group 1; Census Tract 112; San Francisco County; California","1023","256",
"1500000US060750112002","Block Group 2; Census Tract 112; San Francisco County; California","658","253",
"1500000US060750112003","Block Group 3; Census Tract 112; San Francisco County; California","334","135",
"1500000US060750112004","Block Group 4; Census Tract 112; San Francisco County; California","850","240",
"1500000US060750113001","Block Group 1; Census Tract 113; San Francisco County; California","1621","590",
"1500000US060750113002","Block Group 2; Census Tract 113; San Francisco County; California","1241","235",
"1500000US060750117001","Block Group 1; Census Tract 117; San Francisco County; California","563","253",
"1500000US060750117002","Block Group 2; Census Tract 117; San Francisco County; California","393","202",
"1500000US060750117003","Block Group 3; Census Tract 117; San Francisco County; California","132","89",
"1500000US060750117004","Block Group 4; Census Tract 117; San Francisco County; California","968","222",
"1500000US060750118001","Block Group 1; Census Tract 118; San Francisco County; California","1695","298",
"1500000US060750119011","Block Group 1; Census Tract 119.01; San Francisco County; California","1548","305",
"1500000US060750119012","Block Group 2; Census Tract 119.01; San Francisco County; California","344","143",
"1500000US060750119013","Block Group 3; Census Tract 119.01; San Francisco County; California","495","202",
"1500000US060750119021","Block Group 1; Census Tract 119.02; San Francisco County; California","836","548",
"1500000US060750119022","Block Group 2; Census Tract 119.02; San Francisco County; California","1122","234",
"1500000US060750119023","Block Group 3; Census Tract 119.02; San Francisco County; California","692","225",
"1500000US060750120011","Block Group 1; Census Tract 120.01; San Francisco County; California","1015","412",
"1500000US060750120012","Block Group 2; Census Tract 120.01; San Francisco County; California","897","355",
"1500000US060750120021","Block Group 1; Census Tract 120.02; San Francisco County; California","1228","279",
"1500000US060750120022","Block Group 2; Census Tract 120.02; San Francisco County; California","874","274",
"1500000US060750121001","Block Group 1; Census Tract 121; San Francisco County; California","1033","276",
"1500000US060750121002","Block Group 2; Census Tract 121; San Francisco County; California","1329","432",
"1500000US060750121003","Block Group 3; Census Tract 121; San Francisco County; California","1151","257",
"1500000US060750122021","Block Group 1; Census Tract 122.02; San Francisco County; California","1348","358",
"1500000US060750122022","Block Group 2; Census Tract 122.02; San Francisco County; California","1630","417",
"1500000US060750122031","Block Group 1; Census Tract 122.03; San Francisco County; California","1233","498",
"1500000US060750122032","Block Group 2; Census Tract 122.03; San Francisco County; California","530","196",
"1500000US060750122041","Block Group 1; Census Tract 122.04; San Francisco County; California","607","332",
"1500000US060750122042","Block Group 2; Census Tract 122.04; San Francisco County; California","828","244",
"1500000US060750122043","Block Group 3; Census Tract 122.04; San Francisco County; California","1285","303",
"1500000US060750123011","Block Group 1; Census Tract 123.01; San Francisco County; California","1076","220",
"1500000US060750123012","Block Group 2; Census Tract 123.01; San Francisco County; California","608","223",
"1500000US060750123013","Block Group 3; Census Tract 123.01; San Francisco County; California","217","110",
"1500000US060750123021","Block Group 1; Census Tract 123.02; San Francisco County; California","501","194",
"1500000US060750123022","Block Group 2; Census Tract 123.02; San Francisco County; California","642","145",
"1500000US060750123023","Block Group 3; Census Tract 123.02; San Francisco County; California","575","210",
"1500000US060750123024","Block Group 4; Census Tract 123.02; San Francisco County; California","896","186",
"1500000US060750124031","Block Group 1; Census Tract 124.03; San Francisco County; California","1482","569",
"1500000US060750124032","Block Group 2; Census Tract 124.03; San Francisco County; California","949","314",
