objectid,Station ID,Station Name,Station ID DOMO,Has Kiosk,Dock Count,Station Latitude,Station Longitude,Region_ID,shape,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of
4,31,Raymond Kimbell Playground,SF-G19,true,31,37.78381271,-122.43455887,3,POINT (-122.434558868 37.783812709),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
27,29,O'Farrell St at Divisadero St,SF-H18,true,27,37.7824046,-122.43944585,3,POINT (-122.439445853 37.782404602),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
36,39,Scott St at Golden Gate Ave,SF-I19,true,27,37.778999400000004,-122.4368608,3,POINT (-122.4368608 37.7789994),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
41,54,Alamo Square (Steiner St at Fulton St),SF-J19,true,23,37.77754677,-122.43327409,3,POINT (-122.43327409 37.77754677),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
217,285,Webster St at O'Farrell St,SF-H20,true,27,37.78352084,-122.43115783,3,POINT (-122.431157827 37.783520835),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
310,383,Golden Gate Ave at Franklin St,SF-I22,true,31,37.780819,-122.4217875,3,POINT (-122.4217875 37.780819),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
321,365,Turk St at Fillmore St,SF-I20,true,23,37.78045006,-122.4319464,3,POINT (-122.431946397 37.78045006),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
416,469,Ellis St at Pierce St,SF-H19,true,27,37.78198169,-122.43576989,3,POINT (-122.435769886 37.781981688),5,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
464,508,St. Joseph's Ave at Geary Blvd,SF-H17,true,27,37.78255087,-122.4423252,3,POINT (-122.442325205 37.782550873),2,Western Addition,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
352,433,Gennessee St at Monterey Blvd,SF-W14,true,15,37.73165669,-122.45112151,3,POINT (-122.451121509 37.73165669),7,West of Twin Peaks,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
366,431,Judson Ave at Gennessee St,SF-X14,true,27,37.72828159,-122.45069504,3,POINT (-122.450695038 37.728281592),7,West of Twin Peaks,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
414,498,Frida Kahlo Way at Cloud Cir,SF-Y14,true,23,37.72588979,-122.45244384,3,POINT (-122.452443838 37.725889789),7,West of Twin Peaks,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
370,412,Glen Park BART Station,SF-W19,true,40,37.7328128,-122.43414044,3,POINT (-122.434140444 37.732812801),8,West of Twin Peaks,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
40,58,Market St at 10th St,SF-J23-1,true,31,37.776619,-122.417385,3,POINT (-122.417385 37.776619),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
43,61,Howard St at 8th St,SF-J25,true,27,37.7765126,-122.4113061,3,POINT (-122.4113061 37.7765126),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
47,60,8th St at Ringold St,SF-J24,true,31,37.7745204,-122.40944937,3,POINT (-122.409449369 37.774520401),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
52,44,Civic Center/UN Plaza BART Station (Market St at McAllister St),SF-I25,true,31,37.7810737,-122.4117382,3,POINT (-122.4117382 37.7810737),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
53,63,Bryant St at 6th St,SF-J27,true,19,37.7758375,-122.402694,3,POINT (-122.402694 37.7758375),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
55,79,7th St at Brannan St,SF-K27,true,18,37.7734919,-122.4036725,3,POINT (-122.4036725 37.7734919),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
56,77,11th St at Natoma St,SF-K24,true,19,37.7735069,-122.4160402,3,POINT (-122.4160402 37.7735069),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
59,62,Victoria Manalo Draves Park,SF-J26,true,15,37.77779057,-122.40643188,3,POINT (-122.406431884 37.77779057),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
61,78,Folsom St at 9th St,SF-K25,true,27,37.7737172,-122.4116467,3,POINT (-122.4116467 37.7737172),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
67,64,5th St at Brannan St,SF-J28,true,0,37.7767539,-122.3990176,3,POINT (-122.3990176 37.7767539),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
69,47,4th St at Harrison St,SF-I28,true,31,37.7811944,-122.3999862,3,POINT (-122.3999862 37.7811944),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
113,90,Townsend St at 7th St,SF-L27,true,27,37.771058,-122.402717,3,POINT (-122.402717 37.771058),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
281,321,Folsom St at 5th St,SF-I27,true,31,37.78064509,-122.40286589,3,POINT (-122.402865887 37.780645093),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
307,349,Howard St at 6th St,SF-I26-,true,27,37.7802645,-122.4066435,3,POINT (-122.4066435 37.7802645),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
329,350,8th St at Brannan St,SF-K26,true,31,37.77143136,-122.40578681,3,POINT (-122.405786812 37.771431363),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
372,453,Brannan St at 4th St,SF-J28-2,true,19,37.77793367,-122.39697307,3,POINT (-122.396973073 37.77793367),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
383,446,Mint St at Mission St,SF-H26-2,true,15,37.78227953,-122.40731299,3,POINT (-122.407312989 37.78227953),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
408,482,Brannan St at 7th St,SF-K27-2,true,23,37.772712,-122.4035775,3,POINT (-122.4035775 37.772712),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
430,493,Folsom St at 7th St,SF-J26-2,true,19,37.77666378,-122.40790844,3,POINT (-122.40790844 37.776663783),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
462,519,Townsend St at 6th St,SF-K28-3,true,23,37.773238,-122.399998,3,POINT (-122.399998 37.773238),6,South of Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
394,456,Arguello Blvd at Geary Blvd,SF-G13,true,19,37.78146762,-122.45880604,3,POINT (-122.458806038 37.781467615),2,Presidio Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
449,517,Spruce St at California St,SF-F15,true,24,37.7865785,-122.45342284,3,POINT (-122.453422844 37.7865785),2,Presidio Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
450,514,Laurel St at California St,SF-F16,true,23,37.7866115,-122.4500525,3,POINT (-122.4500525 37.7866115),2,Presidio Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
74,126,Esprit Park,SF-O30,true,31,37.7616343,-122.3906477,3,POINT (-122.3906477 37.7616343),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
85,114,Rhode Island St at 17th St,SF-N27,true,19,37.7644783,-122.4025701,3,POINT (-122.4025701 37.7644783),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
93,115,Jackson Playground,SF-N28,true,27,37.764965,-122.3990255,3,POINT (-122.3990255 37.764965),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
95,116,Mississippi St at 17th St,SF-N29,true,31,37.764793999999995,-122.3947595,3,POINT (-122.3947595 37.764794),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
112,130,22nd St Caltrain Station,SF-P30,true,35,37.75770404,-122.39188492,3,POINT (-122.391884923 37.757704041),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
295,355,23rd St at Tennessee St,SF-Q30,true,31,37.75536713,-122.38879502,3,POINT (-122.388795018 37.755367132),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
320,376,Illinois St at 20th St,SF-O30-2,true,19,37.7603435,-122.387449,3,POINT (-122.387449 37.7603435),10,Potrero Hill,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
293,352,Goettingen St at Bacon St,SF-Y25,true,23,37.72694297,-122.40659952,3,POINT (-122.406599522 37.726942966),9,Portola,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
390,480,Steiner St at California St,SF-F19,true,19,37.78856891,-122.43540108,3,POINT (-122.435401082 37.788568914),2,Pacific Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
418,492,Webster St at Clay St,SF-E20,true,19,37.79080303,-122.43259013,3,POINT (-122.432590127 37.790803032),2,Pacific Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
420,479,Washington St at Van Ness Ave,SF-E22,false,3,37.79297985,-122.42330164,3,POINT (-122.423301637 37.792979855),2,Pacific Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
