objectid,CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,STREETNAME,CROSS_STRE,CROSS_ST_1,FROM_ST,TO_ST,shape,data_as_of,data_loaded_at
41,2421000,ARGUELLO,BLVD,Jordan Park - Laurel Heights,2421000,ARGUELLO BLVD,EUCLID AVE,CLEMENT ST,EUCLID AVE,CLEMENT ST,"LINESTRING (-122.459044554 37.783826604, -122.458998401 37.783188665)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
56,9688000,NORTH POINT,ST,North Waterfront,9688000,NORTH POINT ST,STOCKTON ST,POWELL ST,STOCKTON ST,POWELL ST,"LINESTRING (-122.410497554 37.806962911, -122.412141424 37.806758083)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
59,5684000,FOLSOM,ST,South of Market,5683000,FOLSOM ST,NORFOLK ST,12TH ST,NORFOLK ST,12TH ST,"LINESTRING (-122.414526088 37.771404651, -122.414996655 37.770896109)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
39,514000,11TH,ST,South of Market,514000,11TH ST,BURNS PL,FOLSOM ST,BURNS PL,FOLSOM ST,"LINESTRING (-122.414391993 37.772158116, -122.414026707 37.771863707)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
5,590000,14TH,ST,Mission Dolores,590000,14TH ST,GUERRERO ST,RAMONA AVE,GUERRERO ST,RAMONA AVE,"LINESTRING (-122.42441169 37.768006425, -122.425353535 37.767949706)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
42,5693000,FOLSOM,ST,Inner Mission,5693000,FOLSOM ST,18TH ST,19TH ST,18TH ST,19TH ST,"LINESTRING (-122.414998618 37.762099161, -122.414841892 37.760498872)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
55,2417000,ARGUELLO,BLVD,Presidio Heights,2417000,ARGUELLO BLVD,LAKE ST,SACRAMENTO ST,LAKE ST,SACRAMENTO ST,"LINESTRING (-122.459279527 37.786913871, -122.459255766 37.7866233)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
25,9695000,NORTH POINT,ST,Russian Hill,9695000,NORTH POINT ST,HYDE ST,LARKIN ST,HYDE ST,LARKIN ST,"LINESTRING (-122.420369047 37.805720256, -122.422006821 37.805496648)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
4,9692000,NORTH POINT,ST,North Waterfront,9692000,NORTH POINT ST,JONES ST,COLUMBUS AVE,JONES ST,COLUMBUS AVE,"LINESTRING (-122.417077278 37.806141247, -122.418380658 37.805977369)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
10,589000,14TH,ST,Mission Dolores,589000,14TH ST,VALENCIA ST,GUERRERO ST,VALENCIA ST,GUERRERO ST,"LINESTRING (-122.422199174 37.768139683, -122.42441169 37.768006425)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
14,580000,14TH,ST,Inner Mission,580000,14TH ST,FOLSOM ST,SHOTWELL ST,FOLSOM ST,SHOTWELL ST,"LINESTRING (-122.415613782 37.768537387, -122.416707369 37.768471369)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
26,13065000,VALENCIA,ST,Inner Mission,13065000,VALENCIA ST,19TH ST,CUNNINGHAM PL,19TH ST,CUNNINGHAM PL,"LINESTRING (-122.421425212 37.760101294, -122.421355418 37.759372454)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
